% Model:              18feb2021_3DpreformWithCapillaryBreakup_jefferycoulter.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 19 2021, 15:55
% Dimension:          3
% Nodes:              1600
% Expressions:        1
% Description:        Electrolyte potential
% Length unit:        mm
% X                       Y                        Z                        cd.phil (V)
-0.6749999999999999       -0.875                   0.35                     0.048589653035853136
-0.625                    -0.875                   0.35                     0.04604516702764615
-0.575                    -0.875                   0.35                     0.04323630649982194
-0.525                    -0.875                   0.35                     0.039837541779551996
-0.475                    -0.875                   0.35                     0.03592600375449227
-0.42499999999999993      -0.875                   0.35                     0.03184098729581642
-0.3749999999999999       -0.875                   0.35                     0.02725130717839755
-0.325                    -0.875                   0.35                     0.02212389448937778
-0.2749999999999999       -0.875                   0.35                     0.016407825448139426
-0.225                    -0.875                   0.35                     0.010419831003250267
-0.17499999999999993      -0.875                   0.35                     0.004027844535801161
-0.12499999999999989      -0.875                   0.35                     -0.0024442646804650183
-0.07499999999999996      -0.875                   0.35                     -0.00941953971467636
-0.024999999999999915     -0.875                   0.35                     -0.01629077337856187
